name,Brand,MrpDecimal,salePriceDecimal,discountDecimal,discountPercent
Zingavita Multivitamin With Biotin Zinc Sugar Free Veg Supplement 120 Tablets,ZINGAVITA,499.00,474.05,24.95,5
Carbamide Forte Brain Support Supplement Brahmi Ginkgo Biloba-120 Tablets,CARBAMIDE FORTE,1200.00,1020.00,180.00,15
Carbamide Forte 100% Organic Spirulina Tablets 2000mg Per Serving - 180 Tablets,CARBAMIDE FORTE,650.00,552.50,97.50,15
Carbamide Forte Melatonin 10mg Gummies - 60 Veg Gummies,CARBAMIDE FORTE,650.00,617.50,32.50,5
Carbamide Forte Coenzyme Q10 (coq10) 120mg With Piperine 6mg Supports Heart Health 60 Capsules,CARBAMIDE FORTE,1100.00,1045.00,55.00,5
Rooted Actives - Maca Root + Reishi Mushroom 2250mg* - 90 Veg Capsules,ROOTED ACTIVE NATURALS,1285.00,1092.25,192.75,15
Supermeds Multivitamin Men 60cap,SUPERMEDS,699.00,559.20,139.80,20
Unived Pms Management Mango Flavor Period Relief Women's Supplement - 14 Servings,UNIVED,800.00,760.00,40.00,5
"Ferradol Health And Food Supplement With Iron, Vitamins, Calcium And Zinc -450gm",FERRADOL,313.50,282.15,31.35,10
Maxirich Gold Advanced Daily Supplement 30caps Bottle (pack Of 2),MAXIRICH,580.00,435.00,145.00,25
Carbamide Forte Extra Virgin Cold Pressed Coconut Oil For Coastal Andhra 200ml,CARBAMIDE FORTE,250.00,212.50,37.50,15
Healthkart Glutathione - 30 Capsules,HEALTHKART,1499.00,1424.05,74.95,5
Himalayan Organics Whole Food Multivitamin For Men 60 Capsules,HIMALAYAN ORGANICS,795.00,755.25,39.75,5
Truebasics Multivit Men 50+ - 30 Tablets,TRUEBASICS,649.00,616.55,32.45,5
Zeonutra Active Men |multivitamin For Men| 60 Tablets Bottle,ZEONUTRA,999.00,899.10,99.90,10
Zingavita Multivitamin For Men 50+ With Vitamins Minerals & Herbs 120 Tablets,ZINGAVITA,999.00,949.05,49.95,5
Briyo Supplements- Orthomax -calcium + Vitamin D3 Dietary Supplement For Bone & Joint -60 Softgels,BRIYO,499.00,499.00,,0
Briyosis Coenzyme Q10 (coq10) 200 Mg - 60 Softgels - For Heart Health And Cellular Energy Production,BRIYOSIS,1175.00,1175.00,,0
Briyo Garlic Oil Softgels - Dietary Supplement For Good Immunity - 1 X (60 Softgels),BRIYO,360.00,360.00,,0
Rooted Actives- Turkey Tail Mushroom Extract 1950mg* -pure Fruit Body Extract - 120 Veg Caps,ROOTED ACTIVE NATURALS,1350.00,553.50,796.50,59
Zandu Pure Honey Squeasy - 225g (1+1),ZANDU,185.00,175.75,9.25,5
Hk Vitals Zinc Complex Supplement 60 Tablet(s),HEALTHKART,599.00,569.05,29.95,5
Carbamide Forte Multivitamin For Men 67 Ingredients 13 Vital Blends 60 Tablets,CARBAMIDE FORTE,675.00,641.25,33.75,5
Swisse Kids Multi Supplements For Growth And Development In Children (5-12 Years)-60 Chewable Tabs,SWISSE,2499.00,2374.05,124.95,5
Carbamide Forte Melatonin 10mg Regulate Sleep Cycle- 30 Veg Tablets,CARBAMIDE FORTE,420.00,399.00,21.00,5
Nutrabay Pro Multivitamin For Men - 60 Capsules,NUTRABAY,499.00,474.05,24.95,5
Healthvit Cenvitan Men Multivitamin & Multimineral With 24 Nutrients -60 Tablets,HEALTHVIT,500.00,475.00,25.00,5
Ourdaily Ashwagandha -daily Ashwagandha Supplement Immunity And Stress Relief-60 Tablets,OURDAILY,169.00,84.50,84.50,50
Truebasics Glutathione Supplement 30 Capsules,TRUEBASICS,1399.00,1329.05,69.95,5
Healthbest Haemobest Capsules Iron Supplement | Increases Hemoglobin |1 Bottle (60 Capsule),HEALTHBEST,600.00,570.00,30.00,5
Carbamide Forte Vitamin E 400mg Capsules- 120 Capsules,CARBAMIDE FORTE,599.00,371.38,227.62,38
Zingavita Garcinia Cambogia Weight Loss Supplement Sugar Free 60 Veg Tablets,ZINGAVITA,699.00,664.05,34.95,5
Carbamide Forte Hydrolyzed Collagen Peptides 6000mg - 180 Tablets,CARBAMIDE FORTE,1400.00,1330.00,70.00,5
Liveasy Wellness Iron+folic Acid With Zinc Vitamin C&b12 - Maintains Overall Health - Bottle Of 60,LIVEASY,599.00,299.50,299.50,50
Dabur Aloe Vera Juice - 1 Litre,DABUR,270.00,270.00,,0
Carbamide Forte Multivitamin With Fish Oil 1194.8mg - 60 Softgel Capsules,CARBAMIDE FORTE,650.00,552.50,97.50,15
Gnc Mega Men Sport Multivitamin 120 Tablets,GNC,2399.00,1799.25,599.75,25
Briyo Supplements- Daily Multivitamins & Minerals + Ginseng - 1x(60 Softgels),BRIYO,490.00,426.30,63.70,13
Supermeds Multivitamin Men 50+ 60cap,SUPERMEDS,699.00,559.20,139.80,20
Inlife Multivitamins & Minerals Amino Acids Antioxidants With Ginseng Extract For Men 60 Capsules,INLIFE,699.00,664.05,34.95,5
Healthvit L-glutathione 250mg Skin Whitening Supplement Capsules Bottle Of 60,HEALTHVIT,2000.00,1840.00,160.00,8
Unived Pcos Management- 120 Capsules,UNIVED,1500.00,1425.00,75.00,5
Truebasics Multivit Men One Daily - 30 Tablets,TRUEBASICS,649.00,616.55,32.45,5
Unived Ksm-66 Ashwagandha For Stress Anxiety Endurance & Strength - 60 Caps,UNIVED,1000.00,950.00,50.00,5
Healthkart Glutathione - 30 Capsules,HEALTHKART,1499.00,1424.05,74.95,5
Rooted Actives - Reishi Mushroom Extract Powder - Pure Fruit Body Extract- 60gm,ROOTED ACTIVE NATURALS,820.00,697.00,123.00,15
